Training...
Epoch 1/20 | loss 0.2620 | train_acc 0.9542 | val_acc 0.9465
Epoch 2/20 | loss 0.1101 | train_acc 0.9788 | val_acc 0.9677
Epoch 3/20 | loss 0.0794 | train_acc 0.9835 | val_acc 0.9710
Epoch 4/20 | loss 0.0642 | train_acc 0.9873 | val_acc 0.9745
Epoch 5/20 | loss 0.0516 | train_acc 0.9870 | val_acc 0.9722
Epoch 6/20 | loss 0.0405 | train_acc 0.9902 | val_acc 0.9737
Epoch 7/20 | loss 0.0358 | train_acc 0.9935 | val_acc 0.9753
Epoch 8/20 | loss 0.0299 | train_acc 0.9926 | val_acc 0.9738
Epoch 9/20 | loss 0.0252 | train_acc 0.9944 | val_acc 0.9742
Epoch 10/20 | loss 0.0240 | train_acc 0.9946 | val_acc 0.9718
Epoch 11/20 | loss 0.0197 | train_acc 0.9948 | val_acc 0.9760
Epoch 12/20 | loss 0.0178 | train_acc 0.9939 | val_acc 0.9735
Epoch 13/20 | loss 0.0187 | train_acc 0.9953 | val_acc 0.9742
Epoch 14/20 | loss 0.0157 | train_acc 0.9977 | val_acc 0.9738
Epoch 15/20 | loss 0.0151 | train_acc 0.9931 | val_acc 0.9717
Epoch 16/20 | loss 0.0119 | train_acc 0.9963 | val_acc 0.9730
Epoch 17/20 | loss 0.0145 | train_acc 0.9975 | val_acc 0.9758
Epoch 18/20 | loss 0.0119 | train_acc 0.9984 | val_acc 0.9755
Epoch 19/20 | loss 0.0117 | train_acc 0.9985 | val_acc 0.9783
Epoch 20/20 | loss 0.0126 | train_acc 0.9978 | val_acc 0.9755

Test |acc 0.9807 |f1 0.9805 |precision 0.9805 |recall 0.9806
Model saved: C:\Users\samwe\OneDrive\Desktop\da6401_assignment_1\src\best_model.npy
