Training...
Epoch 1/20 | loss 0.2659 | train_acc 0.9652 | val_acc 0.9565
Epoch 2/20 | loss 0.1103 | train_acc 0.9750 | val_acc 0.9632
Epoch 3/20 | loss 0.0782 | train_acc 0.9829 | val_acc 0.9708
Epoch 4/20 | loss 0.0613 | train_acc 0.9856 | val_acc 0.9717
Epoch 5/20 | loss 0.0499 | train_acc 0.9846 | val_acc 0.9687
Epoch 6/20 | loss 0.0413 | train_acc 0.9917 | val_acc 0.9750
Epoch 7/20 | loss 0.0351 | train_acc 0.9932 | val_acc 0.9763
Epoch 8/20 | loss 0.0307 | train_acc 0.9927 | val_acc 0.9747
Epoch 9/20 | loss 0.0278 | train_acc 0.9896 | val_acc 0.9703
Epoch 10/20 | loss 0.0232 | train_acc 0.9959 | val_acc 0.9745
Epoch 11/20 | loss 0.0206 | train_acc 0.9959 | val_acc 0.9778
Epoch 12/20 | loss 0.0182 | train_acc 0.9954 | val_acc 0.9782
Epoch 13/20 | loss 0.0189 | train_acc 0.9970 | val_acc 0.9767
Epoch 14/20 | loss 0.0166 | train_acc 0.9954 | val_acc 0.9753
Epoch 15/20 | loss 0.0166 | train_acc 0.9959 | val_acc 0.9743
Epoch 16/20 | loss 0.0118 | train_acc 0.9984 | val_acc 0.9782
Epoch 17/20 | loss 0.0139 | train_acc 0.9967 | val_acc 0.9763
Epoch 18/20 | loss 0.0154 | train_acc 0.9986 | val_acc 0.9793
Epoch 19/20 | loss 0.0133 | train_acc 0.9979 | val_acc 0.9765
Epoch 20/20 | loss 0.0123 | train_acc 0.9970 | val_acc 0.9745

Test |acc 0.9788 |f1 0.9786 |precision 0.9785 |recall 0.9787
Model saved: C:\Users\samwe\OneDrive\Desktop\da6401_assignment_1\src\best_model.npy
